ORDEM;NU_INSCRICAO;NU_NOTA_MT
1;ed50e8aaa58e7a806c337585efee9ca41f1eb1ad;399.4
2;2c3acac4b33ec2b195d77e7c04a2d75727fad723;459.8
3;f4545f8ccb9ff5c8aad7d32951b3f251a26e6568;
4;3d6ec248fef899c414e77f82d5c6d2bffbeaf7fe;
5;bf896ac8d3ecadd6dba1dfbf50110afcbf5d3268;
6;a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1;364.5
7;63b4e128e9ffe8ab27f5d093db1976ef4f353e0a;529.2
8;2eb189d4912f64b19d1967e8e84b6141aba18770;566.7
9;5822cb43e0800429be2084b3f86a63aaa73fa66c;372.4
10;94f7e277f87cd58e10a45da4ad5dd168651cf3ef;
11;3c44449ad09dc6a72c77c3bd3b5fd06a6d3f66e8;419.6
12;6f721ecb245bd74eaeda78b8d8135e8adeba6dc0;369.9
13;70b1dacb515d1aecead8a53cb465a70fda4b62b6;464.2
14;8570b9be0b2b629d00743d0de77cd95a84a46fbc;
15;67a173ad63a2a3f77c8905b49e83084b7c1cd6b0;453.4
16;4e17008781ab3d721804ffe992884f86c37dcb4c;
17;6118b53a6c928609d5ec78f7b6ae463ee3f766e3;480.4
18;036bce628d802e0da1fc727057dd40e979a03ac3;402.4
19;e2550a9dbfe4dfa31af61ab8cbdd08de283fd7ba;475.8
20;fa8d39d295f07f351cbff175dcfe01a4cbb49ca3;
21;bedf9d4bf2c29669d24ef9ed9fa4bb6b8a2b574b;518
22;5458db66588b99384d711f24a5e77d2befb2bec9;
23;f2dda998a10d8f259dec0018a0a0aefafb66dcf7;
24;fe981a60436f1d9e533a28c67dd66c72290ce7c7;
25;f08085c95978cded4e8009e734772d2889c6ab1d;
26;2600ee9cbb63e8dc65423f18d2f33c8ad198edfe;475.3
27;75182e8460c3cae7808fbe4c3475c15e232327dd;
28;9f1f0f639f56faed5cdb4db727692f9a49f7818b;430.8
29;45837167deb9a4e1969d5d9bdb31e8bfe7c94017;377.3
